auction_id,title,category,subcategory,emirate,listing_type,auction_status,start_time,end_time,duration_days,as_of_date,start_price,final_price,target_price,achievement_ratio,bids_count,num_bidders,views,price_uplift,profit_margin_proxy,engagement_score,bids_per_bidder,views_per_bid,make,vehicle_type,charity_flag,day_of_week,hour_of_day,month,auction_month_name,auction_quarter,bid_per_user,popularity_index,auction_popularity_score,price_segment,beneficiary,charity_revenue,revenue
AUC-1,Vehicles 1759,Vehicles,Car,Umm Al Quwain,Auction,Closed,2025-09-26 08:00:00,2025-09-27 08:00:00,1.0,2025-11-08 12:00:00,195713.0,229699.13,252533.88,0.9096,7,5,160,0.1736528999095614,33986.13,8.75,1.4,22.857142857142858,,Car,False,Friday,8.0,9.0,September,3.0,1.4,6.05,43.63,High,,0.0,229699.13
AUC-2,Vehicles 3332,Vehicles,Car,Ras Al Khaimah,Auction,Closed,2025-10-18 23:00:00,2025-10-19 18:00:00,0.792,2025-11-08 12:00:00,47494.0,50500.56,53529.64,0.9434,40,23,883,0.0633039962942687,3006.56,47.825,1.7391304347826086,22.075,,Car,False,Saturday,23.0,10.0,October,4.0,1.7391304347826086,3.58,42.15,Mid,,0.0,50500.56
AUC-3,Vehicles 1587,Vehicles,Car,Sharjah,Auction,Closed,2025-09-10 01:00:00,2025-09-10 11:00:00,0.417,2025-11-08 12:00:00,160813.0,258826.95,192291.47,1.346,16,7,384,0.609490215343287,98013.95,19.35,2.2857142857142856,24.0,,Car,False,Wednesday,1.0,9.0,September,3.0,2.2857142857142856,20.86,52.52,High,,0.0,258826.95
AUC-4,Vehicles 2757,Vehicles,Car,Ajman,BuyNow,Closed,2025-09-29 10:00:00,2025-09-29 23:00:00,0.687,2025-11-08 12:00:00,32655.0,56776.95,40609.71,1.3981,68,20,1781,0.738690858980248,24121.95,83.525,3.4,26.19117647058824,,Car,False,Monday,10.0,9.0,September,3.0,3.4,26.73,56.04,Mid,,0.0,56776.95
AUC-5,Vehicles 1674,Vehicles,Car,Umm Al Quwain,Auction,Closed,2025-09-30 15:00:00,2025-10-01 18:00:00,1.125,2025-11-08 12:00:00,37453.0,73703.59,47537.64,1.5504,22,15,624,0.9678954956879288,36250.59,30.35,1.4666666666666666,28.363636363636363,,Car,False,Tuesday,15.0,9.0,September,3.0,1.4666666666666666,32.99,59.79,Mid,,0.0,73703.59
AUC-6,Vehicles 7859,Vehicles,Car,Abu Dhabi,Auction,Closed,2025-10-31 13:00:00,2025-11-02 19:00:00,2.25,2025-11-08 12:00:00,196303.0,243089.59,219371.09,1.1081,13,5,136,0.2383386397558875,46786.59,11.15,2.6,10.461538461538462,,Car,False,Friday,13.0,10.0,October,4.0,2.6,8.41,45.05,High,,0.0,243089.59
AUC-7,Vehicles 6308,Vehicles,Car,Ras Al Khaimah,Auction,Closed,2025-10-22 01:00:00,2025-10-22 09:00:00,0.466,2025-11-08 12:00:00,14344.0,20712.76,16653.58,1.2437,67,34,856,0.4440016731734522,6368.76,63.4,1.9705882352941175,12.776119402985074,,Car,False,Wednesday,1.0,10.0,October,4.0,1.9705882352941173,17.05,50.23,Mid,,0.0,20712.76
AUC-8,Vehicles 5660,Vehicles,Car,Abu Dhabi,BuyNow,Closed,2025-10-12 01:00:00,2025-10-12 12:00:00,0.458,2025-11-08 12:00:00,142542.0,212487.77,178365.27,1.1913,56,21,1210,0.4907028805545032,69945.77,63.5,2.6666666666666665,21.607142857142858,,Car,False,Sunday,1.0,10.0,October,4.0,2.6666666666666665,18.17,50.9,High,,0.0,212487.77
AUC-9,Vehicles 8285,Vehicles,Car,Fujairah,Auction,Closed,2025-09-30 02:00:00,2025-09-30 23:00:00,0.875,2025-11-08 12:00:00,57113.0,122487.31,67815.11,1.8062,11,4,180,1.144648503843258,65374.31,11.0,2.75,16.363636363636363,,Car,False,Tuesday,2.0,9.0,September,3.0,2.75,38.47,63.08,Mid,,0.0,122487.31
AUC-10,Vehicles 4696,Vehicles,Car,Umm Al Quwain,Auction,Closed,2025-10-05 21:00:00,2025-10-08 12:00:00,2.625,2025-11-08 12:00:00,106043.0,162964.17,119859.64,1.3596,21,12,374,0.536774421696859,56921.17,22.85,1.75,17.80952380952381,,Car,False,Sunday,21.0,10.0,October,4.0,1.75,18.54,51.12,High,,0.0,162964.17
